Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,181,6,Some Random Commen with Id 0
1,0,0,195,7,Some Random Commen with Id 1
2,0,0,110,1,Some Random Commen with Id 2
3,0,0,85,4,Some Random Commen with Id 3
4,2,1,10,3,Some Random Commen with Id 4
5,3,5,77,2,Some Random Commen with Id 5
6,3,5,49,6,Some Random Commen with Id 6
7,3,5,68,2,Some Random Commen with Id 7
8,3,5,101,3,Some Random Commen with Id 8
9,3,5,173,6,Some Random Commen with Id 9
10,3,5,27,0,Some Random Commen with Id 10
11,4,7,180,7,Some Random Commen with Id 11
12,4,7,39,2,Some Random Commen with Id 12
13,4,7,148,9,Some Random Commen with Id 13
14,5,2,139,0,Some Random Commen with Id 14
15,5,2,93,6,Some Random Commen with Id 15
16,5,2,109,1,Some Random Commen with Id 16
17,5,2,139,7,Some Random Commen with Id 17
18,5,2,65,6,Some Random Commen with Id 18
19,5,2,11,1,Some Random Commen with Id 19
20,6,7,42,1,Some Random Commen with Id 20
21,6,7,58,8,Some Random Commen with Id 21
22,6,7,52,1,Some Random Commen with Id 22
23,6,7,174,9,Some Random Commen with Id 23
24,6,7,107,2,Some Random Commen with Id 24
25,7,7,1,1,Some Random Commen with Id 25
26,7,7,199,2,Some Random Commen with Id 26
27,7,7,77,5,Some Random Commen with Id 27
28,7,7,97,9,Some Random Commen with Id 28
29,7,7,49,1,Some Random Commen with Id 29
30,7,7,49,2,Some Random Commen with Id 30
31,7,7,146,2,Some Random Commen with Id 31
32,9,0,152,0,Some Random Commen with Id 32
33,9,0,80,2,Some Random Commen with Id 33
34,9,0,92,4,Some Random Commen with Id 34
35,9,0,14,0,Some Random Commen with Id 35
36,9,0,77,0,Some Random Commen with Id 36
37,9,0,50,6,Some Random Commen with Id 37
38,9,0,87,4,Some Random Commen with Id 38
39,10,2,14,2,Some Random Commen with Id 39
40,10,2,91,1,Some Random Commen with Id 40
41,10,2,46,9,Some Random Commen with Id 41
42,11,2,84,4,Some Random Commen with Id 42
43,11,2,179,2,Some Random Commen with Id 43
44,11,2,161,7,Some Random Commen with Id 44
45,11,2,6,8,Some Random Commen with Id 45
46,11,2,199,4,Some Random Commen with Id 46
47,11,2,103,8,Some Random Commen with Id 47
48,11,2,92,1,Some Random Commen with Id 48
49,11,2,15,0,Some Random Commen with Id 49
50,12,4,157,8,Some Random Commen with Id 50
51,12,4,163,7,Some Random Commen with Id 51
52,12,4,11,8,Some Random Commen with Id 52
53,12,4,127,9,Some Random Commen with Id 53
54,12,4,29,9,Some Random Commen with Id 54
55,12,4,11,0,Some Random Commen with Id 55
56,12,4,156,9,Some Random Commen with Id 56
57,13,9,41,3,Some Random Commen with Id 57
58,13,9,71,9,Some Random Commen with Id 58
59,14,9,162,4,Some Random Commen with Id 59
60,14,9,5,6,Some Random Commen with Id 60
61,14,9,64,7,Some Random Commen with Id 61
62,15,5,191,1,Some Random Commen with Id 62
63,15,5,143,0,Some Random Commen with Id 63
64,15,5,107,1,Some Random Commen with Id 64
65,15,5,12,4,Some Random Commen with Id 65
66,16,3,103,5,Some Random Commen with Id 66
67,16,3,167,1,Some Random Commen with Id 67
68,16,3,91,8,Some Random Commen with Id 68
