Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,147,0,Some Random Commen with Id 0
1,0,6,13,7,Some Random Commen with Id 1
2,0,6,134,9,Some Random Commen with Id 2
3,0,6,123,8,Some Random Commen with Id 3
4,0,6,1,3,Some Random Commen with Id 4
5,0,6,68,6,Some Random Commen with Id 5
6,0,6,103,6,Some Random Commen with Id 6
7,0,6,193,7,Some Random Commen with Id 7
8,0,6,136,3,Some Random Commen with Id 8
9,1,0,106,2,Some Random Commen with Id 9
10,1,0,141,5,Some Random Commen with Id 10
11,1,0,24,3,Some Random Commen with Id 11
12,1,0,181,8,Some Random Commen with Id 12
13,2,2,62,4,Some Random Commen with Id 13
14,2,2,191,0,Some Random Commen with Id 14
15,2,2,19,7,Some Random Commen with Id 15
16,2,2,86,0,Some Random Commen with Id 16
17,2,2,172,8,Some Random Commen with Id 17
18,2,2,80,0,Some Random Commen with Id 18
19,2,2,33,6,Some Random Commen with Id 19
20,3,1,183,6,Some Random Commen with Id 20
21,4,0,108,1,Some Random Commen with Id 21
22,4,0,35,2,Some Random Commen with Id 22
23,4,0,76,8,Some Random Commen with Id 23
24,4,0,123,1,Some Random Commen with Id 24
25,4,0,21,0,Some Random Commen with Id 25
26,4,0,93,9,Some Random Commen with Id 26
27,5,2,123,7,Some Random Commen with Id 27
28,5,2,102,1,Some Random Commen with Id 28
29,5,2,146,9,Some Random Commen with Id 29
30,5,2,146,4,Some Random Commen with Id 30
31,6,5,70,3,Some Random Commen with Id 31
32,6,5,197,1,Some Random Commen with Id 32
33,6,5,165,7,Some Random Commen with Id 33
34,6,5,145,6,Some Random Commen with Id 34
35,6,5,175,4,Some Random Commen with Id 35
36,6,5,131,4,Some Random Commen with Id 36
37,6,5,187,4,Some Random Commen with Id 37
38,7,0,118,2,Some Random Commen with Id 38
39,7,0,68,4,Some Random Commen with Id 39
40,7,0,90,2,Some Random Commen with Id 40
41,7,0,139,5,Some Random Commen with Id 41
42,7,0,187,7,Some Random Commen with Id 42
43,7,0,159,0,Some Random Commen with Id 43
44,7,0,98,7,Some Random Commen with Id 44
45,8,3,92,5,Some Random Commen with Id 45
46,8,3,153,3,Some Random Commen with Id 46
47,8,3,69,1,Some Random Commen with Id 47
48,8,3,57,5,Some Random Commen with Id 48
49,8,3,190,6,Some Random Commen with Id 49
50,8,3,22,4,Some Random Commen with Id 50
51,8,3,22,7,Some Random Commen with Id 51
52,8,3,0,9,Some Random Commen with Id 52
53,9,6,190,2,Some Random Commen with Id 53
54,9,6,194,4,Some Random Commen with Id 54
55,9,6,140,3,Some Random Commen with Id 55
56,9,6,13,7,Some Random Commen with Id 56
57,12,4,137,7,Some Random Commen with Id 57
58,12,4,131,5,Some Random Commen with Id 58
59,12,4,157,7,Some Random Commen with Id 59
60,12,4,60,6,Some Random Commen with Id 60
61,12,4,132,4,Some Random Commen with Id 61
62,12,4,56,0,Some Random Commen with Id 62
63,12,4,1,8,Some Random Commen with Id 63
64,12,4,2,2,Some Random Commen with Id 64
65,13,6,56,3,Some Random Commen with Id 65
66,13,6,138,1,Some Random Commen with Id 66
67,14,1,97,2,Some Random Commen with Id 67
68,14,1,132,2,Some Random Commen with Id 68
69,14,1,9,4,Some Random Commen with Id 69
70,14,1,147,7,Some Random Commen with Id 70
71,14,1,137,3,Some Random Commen with Id 71
72,14,1,198,0,Some Random Commen with Id 72
73,14,1,143,0,Some Random Commen with Id 73
74,14,1,180,4,Some Random Commen with Id 74
75,15,4,141,5,Some Random Commen with Id 75
76,15,4,151,2,Some Random Commen with Id 76
77,15,4,26,3,Some Random Commen with Id 77
78,15,4,60,3,Some Random Commen with Id 78
79,15,4,6,0,Some Random Commen with Id 79
80,15,4,40,0,Some Random Commen with Id 80
81,16,2,2,7,Some Random Commen with Id 81
82,16,2,179,8,Some Random Commen with Id 82
83,16,2,168,1,Some Random Commen with Id 83
84,16,2,9,3,Some Random Commen with Id 84
85,16,2,151,5,Some Random Commen with Id 85
86,16,2,80,4,Some Random Commen with Id 86
87,16,2,25,6,Some Random Commen with Id 87
88,16,2,63,4,Some Random Commen with Id 88
89,16,2,0,1,Some Random Commen with Id 89
90,17,8,110,4,Some Random Commen with Id 90
91,17,8,62,0,Some Random Commen with Id 91
92,17,8,47,1,Some Random Commen with Id 92
93,17,8,84,1,Some Random Commen with Id 93
94,17,8,38,4,Some Random Commen with Id 94
95,17,8,135,8,Some Random Commen with Id 95
96,17,8,13,8,Some Random Commen with Id 96
97,17,8,91,6,Some Random Commen with Id 97
98,17,8,56,6,Some Random Commen with Id 98
99,18,6,48,1,Some Random Commen with Id 99
100,18,6,107,3,Some Random Commen with Id 100
101,19,9,192,1,Some Random Commen with Id 101
102,19,9,197,7,Some Random Commen with Id 102
103,19,9,110,3,Some Random Commen with Id 103
104,19,9,57,1,Some Random Commen with Id 104
105,19,9,138,8,Some Random Commen with Id 105
106,19,9,127,4,Some Random Commen with Id 106
107,19,9,133,6,Some Random Commen with Id 107
108,19,9,42,0,Some Random Commen with Id 108
109,20,3,85,6,Some Random Commen with Id 109
110,20,3,104,0,Some Random Commen with Id 110
111,20,3,191,8,Some Random Commen with Id 111
112,20,3,104,2,Some Random Commen with Id 112
113,20,3,151,3,Some Random Commen with Id 113
114,20,3,67,4,Some Random Commen with Id 114
115,20,3,41,3,Some Random Commen with Id 115
116,20,3,51,7,Some Random Commen with Id 116
117,20,3,57,4,Some Random Commen with Id 117
118,21,1,28,9,Some Random Commen with Id 118
119,21,1,160,0,Some Random Commen with Id 119
120,21,1,135,7,Some Random Commen with Id 120
121,21,1,38,4,Some Random Commen with Id 121
122,21,1,175,6,Some Random Commen with Id 122
123,21,1,103,2,Some Random Commen with Id 123
124,21,1,135,3,Some Random Commen with Id 124
125,21,1,198,2,Some Random Commen with Id 125
126,21,1,135,6,Some Random Commen with Id 126
127,22,2,161,7,Some Random Commen with Id 127
128,23,8,192,2,Some Random Commen with Id 128
129,23,8,61,1,Some Random Commen with Id 129
130,23,8,25,6,Some Random Commen with Id 130
131,23,8,107,7,Some Random Commen with Id 131
132,23,8,196,7,Some Random Commen with Id 132
133,23,8,174,4,Some Random Commen with Id 133
134,23,8,123,7,Some Random Commen with Id 134
135,23,8,195,7,Some Random Commen with Id 135
136,23,8,152,9,Some Random Commen with Id 136
137,24,3,22,6,Some Random Commen with Id 137
138,24,3,169,4,Some Random Commen with Id 138
139,24,3,198,5,Some Random Commen with Id 139
140,24,3,53,9,Some Random Commen with Id 140
141,24,3,98,9,Some Random Commen with Id 141
142,24,3,22,6,Some Random Commen with Id 142
143,24,3,141,2,Some Random Commen with Id 143
144,24,3,33,4,Some Random Commen with Id 144
145,25,7,49,1,Some Random Commen with Id 145
146,25,7,35,2,Some Random Commen with Id 146
147,25,7,55,9,Some Random Commen with Id 147
148,25,7,57,2,Some Random Commen with Id 148
149,25,7,168,5,Some Random Commen with Id 149
150,25,7,91,0,Some Random Commen with Id 150
151,25,7,184,3,Some Random Commen with Id 151
152,26,7,60,8,Some Random Commen with Id 152
153,26,7,102,8,Some Random Commen with Id 153
154,26,7,149,0,Some Random Commen with Id 154
155,26,7,189,2,Some Random Commen with Id 155
156,26,7,161,9,Some Random Commen with Id 156
157,27,2,19,2,Some Random Commen with Id 157
158,27,2,196,8,Some Random Commen with Id 158
159,27,2,186,5,Some Random Commen with Id 159
160,27,2,118,5,Some Random Commen with Id 160
161,27,2,144,4,Some Random Commen with Id 161
162,27,2,178,1,Some Random Commen with Id 162
163,27,2,49,5,Some Random Commen with Id 163
164,27,2,43,6,Some Random Commen with Id 164
165,27,2,187,1,Some Random Commen with Id 165
166,28,7,68,9,Some Random Commen with Id 166
167,28,7,13,9,Some Random Commen with Id 167
168,28,7,167,0,Some Random Commen with Id 168
169,28,7,6,0,Some Random Commen with Id 169
170,28,7,113,6,Some Random Commen with Id 170
171,28,7,174,8,Some Random Commen with Id 171
172,28,7,32,6,Some Random Commen with Id 172
173,28,7,135,5,Some Random Commen with Id 173
174,28,7,146,2,Some Random Commen with Id 174
175,29,1,3,3,Some Random Commen with Id 175
176,29,1,196,1,Some Random Commen with Id 176
177,29,1,33,7,Some Random Commen with Id 177
178,29,1,28,0,Some Random Commen with Id 178
179,29,1,26,9,Some Random Commen with Id 179
180,29,1,189,1,Some Random Commen with Id 180
181,29,1,13,9,Some Random Commen with Id 181
182,29,1,86,1,Some Random Commen with Id 182
183,29,1,86,7,Some Random Commen with Id 183
184,30,6,162,0,Some Random Commen with Id 184
185,30,6,169,2,Some Random Commen with Id 185
186,30,6,82,5,Some Random Commen with Id 186
187,30,6,197,0,Some Random Commen with Id 187
188,30,6,69,7,Some Random Commen with Id 188
189,31,0,78,7,Some Random Commen with Id 189
190,33,7,34,0,Some Random Commen with Id 190
191,34,9,83,5,Some Random Commen with Id 191
192,34,9,27,1,Some Random Commen with Id 192
193,34,9,29,3,Some Random Commen with Id 193
194,34,9,86,5,Some Random Commen with Id 194
195,34,9,36,8,Some Random Commen with Id 195
196,34,9,66,8,Some Random Commen with Id 196
197,35,9,119,9,Some Random Commen with Id 197
198,35,9,195,3,Some Random Commen with Id 198
199,35,9,55,6,Some Random Commen with Id 199
200,35,9,95,7,Some Random Commen with Id 200
201,36,6,98,9,Some Random Commen with Id 201
202,36,6,65,5,Some Random Commen with Id 202
203,36,6,112,3,Some Random Commen with Id 203
204,36,6,93,5,Some Random Commen with Id 204
205,36,6,42,3,Some Random Commen with Id 205
206,37,8,21,5,Some Random Commen with Id 206
207,37,8,155,0,Some Random Commen with Id 207
208,37,8,58,9,Some Random Commen with Id 208
209,37,8,11,6,Some Random Commen with Id 209
210,37,8,47,7,Some Random Commen with Id 210
211,38,9,116,8,Some Random Commen with Id 211
212,39,1,43,4,Some Random Commen with Id 212
213,39,1,26,3,Some Random Commen with Id 213
214,39,1,78,6,Some Random Commen with Id 214
215,39,1,153,0,Some Random Commen with Id 215
216,39,1,148,0,Some Random Commen with Id 216
217,39,1,105,1,Some Random Commen with Id 217
218,39,1,134,6,Some Random Commen with Id 218
219,39,1,141,7,Some Random Commen with Id 219
220,39,1,60,9,Some Random Commen with Id 220
