Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,88,3,Some Random Commen with Id 0
1,0,0,39,3,Some Random Commen with Id 1
2,0,0,145,6,Some Random Commen with Id 2
3,0,0,158,6,Some Random Commen with Id 3
4,0,0,122,4,Some Random Commen with Id 4
5,0,0,144,4,Some Random Commen with Id 5
6,0,0,3,3,Some Random Commen with Id 6
7,1,6,89,2,Some Random Commen with Id 7
8,1,6,89,8,Some Random Commen with Id 8
9,1,6,198,2,Some Random Commen with Id 9
10,1,6,159,4,Some Random Commen with Id 10
11,1,6,25,4,Some Random Commen with Id 11
12,1,6,52,3,Some Random Commen with Id 12
13,1,6,103,2,Some Random Commen with Id 13
14,2,7,162,7,Some Random Commen with Id 14
15,2,7,119,8,Some Random Commen with Id 15
16,2,7,69,2,Some Random Commen with Id 16
17,2,7,38,3,Some Random Commen with Id 17
18,3,8,80,9,Some Random Commen with Id 18
19,3,8,162,0,Some Random Commen with Id 19
20,3,8,143,9,Some Random Commen with Id 20
21,4,2,0,3,Some Random Commen with Id 21
22,4,2,17,4,Some Random Commen with Id 22
23,4,2,119,7,Some Random Commen with Id 23
24,4,2,139,9,Some Random Commen with Id 24
25,5,1,86,6,Some Random Commen with Id 25
26,5,1,98,3,Some Random Commen with Id 26
27,5,1,7,8,Some Random Commen with Id 27
28,5,1,24,5,Some Random Commen with Id 28
29,5,1,97,7,Some Random Commen with Id 29
30,5,1,143,7,Some Random Commen with Id 30
31,5,1,182,3,Some Random Commen with Id 31
32,6,6,74,7,Some Random Commen with Id 32
33,6,6,99,6,Some Random Commen with Id 33
34,6,6,99,7,Some Random Commen with Id 34
35,6,6,138,8,Some Random Commen with Id 35
36,7,1,26,6,Some Random Commen with Id 36
37,7,1,155,1,Some Random Commen with Id 37
38,7,1,169,9,Some Random Commen with Id 38
39,7,1,120,5,Some Random Commen with Id 39
40,7,1,62,8,Some Random Commen with Id 40
41,8,9,156,9,Some Random Commen with Id 41
42,8,9,0,0,Some Random Commen with Id 42
43,8,9,189,7,Some Random Commen with Id 43
44,9,7,10,9,Some Random Commen with Id 44
45,10,1,38,2,Some Random Commen with Id 45
46,10,1,21,5,Some Random Commen with Id 46
47,10,1,3,9,Some Random Commen with Id 47
48,11,2,108,6,Some Random Commen with Id 48
49,11,2,5,9,Some Random Commen with Id 49
50,11,2,89,4,Some Random Commen with Id 50
51,12,8,161,5,Some Random Commen with Id 51
52,12,8,18,6,Some Random Commen with Id 52
53,12,8,90,5,Some Random Commen with Id 53
54,13,5,76,1,Some Random Commen with Id 54
55,13,5,3,5,Some Random Commen with Id 55
56,13,5,99,1,Some Random Commen with Id 56
57,13,5,53,8,Some Random Commen with Id 57
58,13,5,35,4,Some Random Commen with Id 58
59,14,9,118,1,Some Random Commen with Id 59
60,14,9,117,5,Some Random Commen with Id 60
61,14,9,129,4,Some Random Commen with Id 61
62,16,5,4,2,Some Random Commen with Id 62
63,17,0,65,0,Some Random Commen with Id 63
64,17,0,188,6,Some Random Commen with Id 64
65,17,0,26,8,Some Random Commen with Id 65
66,17,0,144,4,Some Random Commen with Id 66
67,17,0,196,6,Some Random Commen with Id 67
68,17,0,154,7,Some Random Commen with Id 68
69,17,0,111,7,Some Random Commen with Id 69
70,18,0,195,6,Some Random Commen with Id 70
71,19,4,103,6,Some Random Commen with Id 71
72,19,4,77,7,Some Random Commen with Id 72
73,19,4,152,8,Some Random Commen with Id 73
74,19,4,120,7,Some Random Commen with Id 74
75,19,4,158,0,Some Random Commen with Id 75
76,19,4,160,2,Some Random Commen with Id 76
77,19,4,147,4,Some Random Commen with Id 77
78,19,4,118,8,Some Random Commen with Id 78
79,20,8,21,0,Some Random Commen with Id 79
80,20,8,66,1,Some Random Commen with Id 80
81,20,8,178,7,Some Random Commen with Id 81
82,20,8,186,6,Some Random Commen with Id 82
83,20,8,11,3,Some Random Commen with Id 83
84,20,8,144,2,Some Random Commen with Id 84
85,20,8,28,1,Some Random Commen with Id 85
86,20,8,107,1,Some Random Commen with Id 86
87,20,8,148,4,Some Random Commen with Id 87
88,21,7,142,0,Some Random Commen with Id 88
89,21,7,19,8,Some Random Commen with Id 89
90,21,7,171,1,Some Random Commen with Id 90
91,21,7,108,3,Some Random Commen with Id 91
92,21,7,189,2,Some Random Commen with Id 92
93,21,7,83,6,Some Random Commen with Id 93
94,21,7,183,1,Some Random Commen with Id 94
95,21,7,135,7,Some Random Commen with Id 95
96,22,2,26,7,Some Random Commen with Id 96
97,22,2,118,5,Some Random Commen with Id 97
98,22,2,14,0,Some Random Commen with Id 98
99,22,2,23,5,Some Random Commen with Id 99
100,22,2,37,4,Some Random Commen with Id 100
101,22,2,122,1,Some Random Commen with Id 101
102,23,7,164,4,Some Random Commen with Id 102
103,23,7,87,8,Some Random Commen with Id 103
104,23,7,31,7,Some Random Commen with Id 104
105,23,7,152,9,Some Random Commen with Id 105
106,23,7,125,2,Some Random Commen with Id 106
107,24,1,162,5,Some Random Commen with Id 107
108,24,1,137,6,Some Random Commen with Id 108
109,25,9,147,8,Some Random Commen with Id 109
110,25,9,195,1,Some Random Commen with Id 110
111,25,9,194,4,Some Random Commen with Id 111
112,25,9,172,6,Some Random Commen with Id 112
113,25,9,40,7,Some Random Commen with Id 113
114,25,9,139,3,Some Random Commen with Id 114
115,25,9,150,3,Some Random Commen with Id 115
116,25,9,102,2,Some Random Commen with Id 116
117,25,9,54,2,Some Random Commen with Id 117
118,26,8,52,5,Some Random Commen with Id 118
119,26,8,105,4,Some Random Commen with Id 119
120,26,8,91,0,Some Random Commen with Id 120
121,26,8,90,0,Some Random Commen with Id 121
122,26,8,180,3,Some Random Commen with Id 122
123,26,8,4,4,Some Random Commen with Id 123
124,26,8,40,7,Some Random Commen with Id 124
125,26,8,30,1,Some Random Commen with Id 125
126,26,8,159,3,Some Random Commen with Id 126
127,27,6,82,4,Some Random Commen with Id 127
128,27,6,115,5,Some Random Commen with Id 128
129,27,6,170,1,Some Random Commen with Id 129
130,27,6,159,7,Some Random Commen with Id 130
131,27,6,123,1,Some Random Commen with Id 131
132,27,6,6,4,Some Random Commen with Id 132
133,28,1,149,3,Some Random Commen with Id 133
134,28,1,125,6,Some Random Commen with Id 134
135,28,1,155,7,Some Random Commen with Id 135
136,28,1,66,5,Some Random Commen with Id 136
137,28,1,106,3,Some Random Commen with Id 137
138,28,1,39,5,Some Random Commen with Id 138
139,28,1,187,0,Some Random Commen with Id 139
140,28,1,49,6,Some Random Commen with Id 140
141,29,6,21,2,Some Random Commen with Id 141
142,29,6,110,0,Some Random Commen with Id 142
143,29,6,108,0,Some Random Commen with Id 143
144,29,6,67,0,Some Random Commen with Id 144
145,30,9,1,0,Some Random Commen with Id 145
146,30,9,145,0,Some Random Commen with Id 146
147,30,9,78,9,Some Random Commen with Id 147
148,32,1,145,8,Some Random Commen with Id 148
149,32,1,118,2,Some Random Commen with Id 149
150,32,1,170,8,Some Random Commen with Id 150
151,32,1,70,1,Some Random Commen with Id 151
152,32,1,173,4,Some Random Commen with Id 152
153,32,1,139,0,Some Random Commen with Id 153
154,32,1,70,3,Some Random Commen with Id 154
155,32,1,41,5,Some Random Commen with Id 155
156,33,3,199,9,Some Random Commen with Id 156
157,33,3,26,5,Some Random Commen with Id 157
158,33,3,157,8,Some Random Commen with Id 158
159,33,3,19,8,Some Random Commen with Id 159
160,33,3,96,3,Some Random Commen with Id 160
161,35,1,68,3,Some Random Commen with Id 161
162,35,1,187,9,Some Random Commen with Id 162
163,35,1,110,1,Some Random Commen with Id 163
164,35,1,187,4,Some Random Commen with Id 164
165,36,7,170,4,Some Random Commen with Id 165
166,36,7,136,1,Some Random Commen with Id 166
167,36,7,174,2,Some Random Commen with Id 167
168,36,7,27,9,Some Random Commen with Id 168
169,36,7,7,7,Some Random Commen with Id 169
170,36,7,68,9,Some Random Commen with Id 170
171,36,7,173,9,Some Random Commen with Id 171
172,36,7,84,1,Some Random Commen with Id 172
173,37,8,185,0,Some Random Commen with Id 173
174,37,8,29,8,Some Random Commen with Id 174
175,38,7,22,7,Some Random Commen with Id 175
